LogID,LogEvent,LogClass,LogDate,AccountID,BookingIDInserted,BookingIDEdited,BookingIDDeleted,AccountIDDeleted,AccountIDCreated
249,Login,LoginHandler,2015-06-25 09:19:22.730000000,10,-1,-1,-1,-1,10
250,Login,LoginHandler,2015-06-25 10:01:56.630000000,12,-1,-1,-1,-1,12
251,Add,BookingHandler,2015-06-25 10:01:59.423000000,12,1557,-1,-1,-1,-1
252,Load,BookingHandler,2015-06-25 10:02:38.760000000,12,-1,-1,-1,-1,-1
253,Today's,BookingHandler,2015-06-25 10:02:40.217000000,12,-1,-1,-1,-1,-1
254,Add,BookingHandler,2015-06-25 09:53:20.947000000,10,1558,-1,-1,-1,-1
255,Add,BookingHandler,2015-06-25 10:03:21.503000000,10,1559,-1,-1,-1,-1
256,Today's,BookingHandler,2015-06-25 10:20:20.917000000,12,-1,-1,-1,-1,-1
257,Login,LoginHandler,2015-06-25 10:21:05.553000000,12,-1,-1,-1,-1,12
258,Today's,BookingHandler,2015-06-25 10:21:10.203000000,12,-1,-1,-1,-1,-1
259,Login,LoginHandler,2015-06-25 10:21:51.077000000,1,-1,-1,-1,-1,1
260,Today's,BookingHandler,2015-06-25 10:22:04.790000000,1,-1,-1,-1,-1,-1
261,Tomorrows,BookingHandler,2015-06-25 10:22:07.447000000,1,-1,-1,-1,-1,-1
262,Load,BookingHandler,2015-06-25 10:22:09.053000000,1,-1,-1,-1,-1,-1
263,Load,BookingHandler,2015-06-25 10:22:27.827000000,12,-1,-1,-1,-1,-1
264,Today's,BookingHandler,2015-06-25 10:22:31.963000000,12,-1,-1,-1,-1,-1
265,Load,BookingHandler,2015-06-25 10:22:42.803000000,12,-1,-1,-1,-1,-1
266,Edit,BookingHandler,2015-06-25 10:22:56.523000000,12,-1,-1,-1,-1,-1
267,Load,BookingHandler,2015-06-25 10:26:41.250000000,1,-1,-1,-1,-1,-1
268,Tomorrows,BookingHandler,2015-06-25 10:26:43.560000000,1,-1,-1,-1,-1,-1
269,Search,BookingHandler,2015-06-25 10:26:45.040000000,1,-1,-1,-1,-1,-1
270,Load,BookingHandler,2015-06-25 10:31:43.907000000,1,-1,-1,-1,-1,-1
271,Load,BookingHandler,2015-06-25 10:32:31.480000000,1,-1,-1,-1,-1,-1
272,Load,BookingHandler,2015-06-25 10:34:12.500000000,1,-1,-1,-1,-1,-1
273,Login,LoginHandler,2015-06-25 10:34:32.403000000,1,-1,-1,-1,-1,1
274,Load,BookingHandler,2015-06-25 10:34:41.833000000,1,-1,-1,-1,-1,-1
275,Remove,BookingHandler,2015-06-25 10:34:46,1,-1,-1,1559,-1,-1
276,Load,BookingHandler,2015-06-25 10:34:48.197000000,1,-1,-1,-1,-1,-1
277,Complete,BookingHandler,2015-06-25 10:39:18.390000000,10,-1,1555,-1,-1,-1
278,Load,BookingHandler,2015-06-25 10:41:44.423000000,1,-1,-1,-1,-1,-1
279,Add,BookingHandler,2015-06-25 10:41:46.880000000,1,1560,-1,-1,-1,-1
280,Load,BookingHandler,2015-06-25 10:42:26.923000000,1,-1,-1,-1,-1,-1
281,View Activity,AccountHandler,2015-06-25 10:43:19.253000000,1,-1,-1,-1,-1,-1
282,View Activity,AccountHandler,2015-06-25 10:43:35.077000000,1,-1,-1,-1,-1,-1
283,View Activity,AccountHandler,2015-06-25 10:43:46.477000000,1,-1,-1,-1,-1,-1
284,View Activity,AccountHandler,2015-06-25 10:43:52.827000000,1,-1,-1,-1,-1,-1
285,View Activity,AccountHandler,2015-06-25 10:44:13.070000000,1,-1,-1,-1,-1,-1
286,Load,BookingHandler,2015-06-25 10:44:20.697000000,1,-1,-1,-1,-1,-1
287,View Activity,AccountHandler,2015-06-25 10:44:31.557000000,1,-1,-1,-1,-1,-1
288,Load,BookingHandler,2015-06-25 10:44:39.327000000,1,-1,-1,-1,-1,-1
289,Load,BookingHandler,2015-06-25 10:44:47.220000000,1,-1,-1,-1,-1,-1
290,View Activity,AccountHandler,2015-06-25 10:44:54.157000000,1,-1,-1,-1,-1,-1
291,Edit,BookingHandler,2015-06-25 10:45:10.050000000,1,-1,-1,-1,-1,-1
